 186 Dynamo Dresden                GDR    
 187 Rangers                       Sco    
 188 FC Zurich                     Sui    
 189 Nottingham Forest             Eng    
 190 RFC Liegeois                  Bel    
 191 DWS                           Ned    
 192 Dundee                        Sco    
 193 Bologna                       Ita    
 194 NK Dinamo                     Yug    
 195 Petrolul Ploiesti             Rom    
 196 Wiener Sport-Club             Aut    
 197 Atletico Madrid               Esp    
 198 Royal Antwerp                 Bel    
 199 Goztepe                       Tur    
 200 FC Lokomotive Leipzig         GDR    
 201 Linfield                      Nir    
 202 Athletic Bilbao               Esp    
 203 St                            Irl    
 204 Girondins Bordeaux            Fra    
 205 Malmo FF                      Swe    
 206 Servette FC Geneva            Sui    
 207 TSV 1860 Munich               FRG    
 208 DOS                           Ned    
 209 Real Zaragoza                 Esp    
 210 Ferencvarosi                  Hun    
 211 Leeds United                  NULL   
 212 Ferencvarosi                  NULL   
 213 PSV                           Ned    
 214 Rabat Ajax                    Mlt    
 215 Avenir Beggen                 Lux    
 216 Red Star                      Yug    
 217 Dinamo Kiev                   URS    
 218 BSC Young Boys                Sui    
 219 Brondby IF                    Den    
 220 Honved                        Hun    
 221 KS Dinamo                     Alb    
 222 Apoel                         Cyp    
 223 Orgryte IS                    Swe    
 224 Paris Saint-Germain           Fra    
 225 TJ Vitkovice                  Tch    
 226 FC Porto                      NULL   
 227 VfB Stuttgart                 FRG    
 228 AS Roma                       Ita    
 229 Lillestrom SK                 Nor    
 230 Nentori                       Alb    
 231 Dinamo Bucharest              Rom    
 232 FC Sion                       Sui    
 233 Bursapor                      Tur    
 234 Zurrieq                       Mlt    
 235 Valkeakoskean Haka            Fin    
 236 US Luxembourg                 Lux    
 237 Fram                          Isl    
 238 GKS Katowice                  Pol    
 239 B1903                         Den    
 240 FC Vitosha                    Bul    
 241 FK Velez                      Yug    
 242 SV Werder Bremen              FRG    
 243 Kalmar FF                     Swe    
 244 Bayer Leverkusen              FRG    
 245 Bayer Uerdingen               FRG    
 246 Borussia Monchengladbach      FRG    
 247 RC Lens                       Fra    
 248 Dundee United                 Sco    
 249 FC Groningen                  Ned    
 250 Galway United                 Irl    
 251 IA                            Isl    
 252 AA Ghent                      Bel    
 253 Pecsi MSC                     Hun    
 254 Vitoria SC                    Por    
 255 Heart Of Midlothian           Sco    
 256 Dukla Prague                  Tch    
 257 FC Nantes                     Fra    
 258 Dinamo Minsk                  URS    
 259 Raba Vasas ETO                Hun    
 260 Coleraine                     Nir    
 261 BSG Stahl Brandenburg         GDR    
 262 Legia Warsaw                  Pol    
 263 Dnepr Dnepropetrovsk          URS    
 264 Sigma Olomouc                 Tch    
 265 IFK Gothenburg                Swe    
 266 Ilves                         Fin    
 267 Linzer ASK                    Aut    
 268 Widzew Lodz                   Pol    
 269 Neuchatel Xamax               Sui    
 270 Lyngby BK                     Den    
 271 SK Beveren                    Bel    
 272 Valerengens IF                Nor    
 273 OFI                           Gre    
 274 KS Flamurtari                 Alb    
 275 Boavista                      Por    
 276 FC Trakia                     Bul    
 277 FC Tirol-Innsbruck            Aut    
 278 Sredets                       Bul    
 279 Sportul Studentesc            Rom    
 280 Universitatea Craiova         Rom    
 281 NK Rijeka                     Yug    
 282 Toulouse FC                   Fra    
 283 Spartak Moscow                URS    
 284 FC Lucerne                    Sui    
 285 IFK Gothenburg                NULL   
 286 Dundee United                 NULL   
 287 Mogren Budva                  Mng    
 288 Tre Fiori                     SMa    
 289 UE Sant Julià                 And    
 290 Makedonija Skopje             Mac    
 291 BATE Barysau                  Bls    
 292 Pyunik Yerevan                Arm    
 293 Dinamo Zagreb                 Cro    
 294 EB                            Far    
 295 APOEL Lefkosia                Cyp    
 296 Ekranas Panevezys             Lit    
 297 FK Baki                       Aze    
 298 Rhyl                          Wal    
 299 Partizan                      Ser    
 300 FK Ventspils                  Lat    
 301 F91 Dudelange                 Lux    
 302 Inter Turku                   Fin    
 303 Sheriff Tiraspol              Mol    
 304 WIT Georgia Tbilisi           Geo    
 305 Maribor                       Sln    
 306 Levski Sofia                  Bul    
 307 Maccabi Haifa                 Isr    
 308 Debreceni VSC                 Hun    
 309 SK Tirana                     Alb    
 310 Stabæk Fotball                Nor    
 311 FC København                  Den    
 312 Zrinjski Mostar               Bos    
 313 Slovan Bratislava             Svk    
 314 Red Bull Salzburg             Aut    
 315 Bohemians                     Ire    
 316 Wisla Kraków                  Pol    
 317 Levadia Tallinn               Est    
 318 FH                            Isl    
 319 FK Aqtöbe                     Kaz    
 320 AC Sparta Praha               Cze    
 321 Sivasspor                     Tur    
 322 Shakhtar Donetsk              Ukr    
 323 FC Timisoara                  Rom    
 324 SK Slavia Praha               Cze    
 325 FC Zürich                     Sui    
 326 Dinamo Moskva                 Rus    
 327 FC Twente                     Net    
 328 Arsenal                       Eng    
 329 VfB Stuttgart                 Ger    
 330 Atlético Madrid               Esp    
 331 Juventus                      NULL   
 332 Girondins de Bordeaux         NULL   
 333 Maccabi Haifa                 NULL   
 334 Bayern München                NULL   
 335 Besiktas JK                   NULL   
 336 VfL Wolfsburg                 NULL   
 337 CSKA Moskva                   NULL   
 338 FC Zürich                     NULL   
 339 Olympique Marseille           NULL   
 340 Milan AC                      NULL   
 341 Real Madrid                   NULL   
 342 Atlético Madrid               NULL   
 343 Chelsea                       NULL   
 344 APOEL Lefkosia                NULL   
 345 Olympique Lyonnais            NULL   
 346 Debreceni VSC                 NULL   
 347 Fiorentina                    NULL   
 348 Dynamo Kyiv                   NULL   
 349 Rubin Kazan                   NULL   
 350 Internazionale                NULL   
